partido_id,temporada,local_goles,visitante_goles,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
877947,2022,2,1,12,10,5,3,34,66,5,2
877945,2022,2,2,8,10,3,2,60,40,3,3
877950,2022,0,3,12,10,6,4,52,48,4,5
877943,2022,0,0,21,4,6,2,68,32,8,0
877946,2022,0,1,7,15,2,7,40,60,3,6
877951,2022,1,0,17,5,2,1,46,54,4,4
877948,2022,1,2,10,29,6,15,32,68,2,15
877942,2022,0,0,23,6,6,2,64,36,7,2
877949,2022,0,3,10,12,0,5,42,58,3,6
877975,2022,0,3,9,18,4,7,46,54,4,4
877973,2022,2,1,13,5,6,3,46,54,4,0
877972,2022,0,1,17,9,2,2,67,33,4,2
877977,2022,4,0,18,7,10,0,53,47,6,4
877978,2022,5,1,24,7,9,4,70,30,9,1
877980,2022,1,0,14,12,6,1,52,48,2,8
877988,2022,2,1,14,14,5,4,45,55,3,12
877986,2022,2,1,14,17,6,4,46,54,7,7
877985,2022,2,3,19,11,5,7,59,41,9,3
877990,2022,0,4,6,16,0,8,30,70,5,6
878004,2022,2,2,10,12,5,5,38,62,6,4
878008,2022,1,0,11,9,4,4,46,54,5,3
878005,2022,3,5,16,11,8,5,40,60,2,2
878010,2022,1,1,22,8,4,2,64,36,10,2
878009,2022,2,1,15,6,6,2,72,28,13,3
878017,2022,1,2,11,15,2,7,45,55,7,5
878019,2022,3,1,10,12,4,4,37,63,7,6
878012,2022,2,1,13,11,7,4,45,55,8,3
878020,2022,1,1,10,21,3,4,46,54,5,7
878015,2022,0,1,9,19,2,4,34,66,4,4
878043,2022,3,1,18,9,6,2,56,44,4,3
878047,2022,2,2,13,9,5,4,41,59,5,3
878046,2022,1,2,17,9,4,3,55,45,7,4
878051,2022,2,1,11,15,5,4,52,48,10,4
878044,2022,1,1,7,9,1,2,50,50,3,5
878045,2022,4,0,10,5,7,3,66,34,1,2
878042,2022,1,1,17,4,5,1,72,28,10,0
878059,2022,1,1,13,7,5,2,52,48,4,4
878055,2022,3,1,19,8,5,3,62,38,6,4
878056,2022,3,2,10,16,7,8,41,59,5,3
878081,2022,1,2,6,17,3,9,32,68,2,1
878075,2022,1,0,8,11,3,3,55,45,7,6
878074,2022,0,1,14,10,6,3,44,56,4,7
878076,2022,1,0,9,17,3,5,37,63,2,5
878079,2022,0,0,10,11,3,3,58,42,5,3
878078,2022,3,0,15,5,7,1,62,38,5,5
878080,2022,2,1,18,10,5,5,67,33,7,1
878086,2022,2,2,16,12,7,4,60,40,2,4
878087,2022,0,0,9,10,5,0,53,47,2,6
878082,2022,2,0,18,5,4,1,62,38,3,5
878116,2022,0,2,14,12,2,7,54,46,3,4
878117,2022,1,0,8,13,2,4,30,70,7,4
878113,2022,3,0,18,7,8,1,47,53,4,1
878119,2022,1,0,17,4,9,1,75,25,8,1
878121,2022,1,0,19,8,9,1,69,31,3,2
878115,2022,1,1,13,8,4,4,42,58,7,2
878114,2022,1,0,8,7,4,3,68,32,4,2
878112,2022,0,2,18,10,3,4,50,50,12,2
878120,2022,2,2,16,14,6,3,57,43,6,2
878124,2022,3,1,19,6,7,3,57,43,2,2
878143,2022,2,0,12,7,3,1,43,57,5,6
878145,2022,2,3,16,12,9,7,52,48,8,2
878150,2022,2,0,15,6,6,0,65,35,8,2
878146,2022,1,2,18,11,8,3,49,51,7,1
878142,2022,1,1,13,19,4,4,42,58,5,6
878147,2022,0,1,14,10,3,2,47,53,7,5
878151,2022,0,0,18,15,5,4,50,50,10,4
878148,2022,0,1,11,6,2,4,53,47,6,2
878144,2022,2,3,10,11,6,5,44,56,4,3
878149,2022,4,0,26,7,13,0,72,28,6,4
878173,2022,1,0,13,13,4,1,53,47,5,2
878177,2022,0,0,18,16,2,3,55,45,7,9
878174,2022,0,0,8,15,4,5,38,62,5,3
878178,2022,0,0,10,6,5,0,64,36,6,4
878186,2022,2,2,11,16,4,10,52,48,2,6
878189,2022,3,1,22,10,7,3,71,29,7,4
878184,2022,1,1,24,5,10,1,55,45,10,3
878183,2022,3,0,15,12,6,3,43,57,3,7
878190,2022,1,0,8,7,4,0,54,46,12,3
878185,2022,1,1,8,8,2,2,37,63,3,2
878218,2022,2,2,7,9,2,4,30,70,8,3
878219,2022,2,1,22,7,6,1,62,38,9,2
878216,2022,1,2,9,12,2,7,49,51,8,7
878221,2022,2,0,11,6,6,4,61,39,3,2
878214,2022,2,3,18,17,4,8,49,51,6,7
878220,2022,3,3,10,14,6,6,62,38,1,2
878213,2022,0,2,9,15,3,4,46,54,5,6
878215,2022,2,1,10,11,4,4,40,60,3,7
878217,2022,1,2,15,14,3,4,51,49,8,2
878212,2022,0,0,18,5,3,0,59,41,12,2
878245,2022,1,0,15,12,9,1,49,51,10,6
878249,2022,2,1,9,10,6,5,40,60,3,9
878247,2022,2,1,19,9,6,2,49,51,6,2
878250,2022,4,2,31,14,13,4,64,36,9,2
878242,2022,0,1,6,4,0,1,55,45,8,2
878256,2022,0,2,13,12,1,7,51,49,4,2
878253,2022,4,0,18,14,9,2,51,49,3,8
878260,2022,4,2,15,9,8,3,68,32,7,0
878252,2022,4,0,15,4,6,1,67,33,10,0
878254,2022,2,1,8,16,4,4,40,60,5,6
878287,2022,1,2,9,10,3,5,45,55,3,1
878282,2022,2,1,10,8,3,3,48,52,8,5
878289,2022,1,1,9,13,5,4,38,62,5,6
878286,2022,3,0,12,7,3,3,54,46,4,6
878284,2022,1,2,13,13,4,6,67,33,8,2
878290,2022,1,2,15,10,5,6,64,36,4,4
878283,2022,3,0,15,12,5,2,54,46,8,10
878291,2022,1,0,11,13,6,5,27,73,2,9
878288,2022,0,0,10,5,4,0,54,46,4,3
878293,2022,1,1,16,11,7,4,40,60,9,3
877944,2022,3,0,17,4,8,2,72,28,8,4
877955,2022,0,2,13,8,1,3,54,46,9,2
877956,2022,1,1,18,6,2,3,61,39,12,2
877960,2022,2,0,16,9,3,2,56,44,2,2
